Data;Descrição;Valor Pago;Meio Pagto;Cancelado
30/12/2024;1 X PARAF R.M 5/32X7/8 (7) UN;R$ 7,45;Transferencia;Não
30/12/2024;1 X GRELHA PVC BRANCA 10CM QUADRADA LUCONI;R$ 4,07;Cartão de Débito;Não
30/12/2024;"1 X TOMADA DUPLA 20A 2P+T EVIDENCE FAME
1 X 2 INTERRUPTOR SIMPLES E TOMADA 20A 2P+T EVIDENCE";R$ 63,45;Cartão de Débito;Não
30/12/2024;1 X EXTENSAO ELETRICA 3,00M 2P+T PRETA TECHINA;R$ 50,50;Dinheiro;Não
30/12/2024;"2 X FITA ANTIDERRAPANTE TRANSPARENTE 50MMX5M TEKBOND
1 X SIFAO SANFONADO PVC UNIVERSAL ASTRA";R$ 0,00;;Não
30/12/2024;1 X RABO QUENTE 1000W 220V IMC;R$ 100,00;Dinheiro;Não
30/12/2024;"1 X ADAPTADOR BOB ESPONJA
1 X CANETA MARCACAO PERMAMENTE PRETO PONTA GROSSA";R$ 14,94;Cartão de Débito;Não
30/12/2024;"2 X DOBRADICA PRESSAO ARMARIO PEQUENA AL2
1 X LIMPA PEDRA SOL. LIMPEZA LIMPINHO 1 LITRO
4 X PARAFUSO CHATO 3,0X14 UNIDADE";R$ 25,72;Transferencia;Não
30/12/2024;1 X TORNEIRA PIA PAREDE BICA MOVEL 1/2 E 3/4 C-50 EMA;R$ 75,34;Dinheiro;Não
30/12/2024;1 X PREGO S/C 17X21 (12) UN;R$ 5,95;Dinheiro;Não
30/12/2024;1 X PINCEL ACHATADO 915/16 ATLAS ;R$ 10,00;Dinheiro;Não
30/12/2024;1 X ARCO DE SERRA MINI JAPONES ;R$ 0,00;;Não
30/12/2024;"1 X TOMADA EXTERNA 20A 2P+T RADIAL
1 X TOMADA 20A 2 POLOS + TERRA RADIAL
1 X FIO PARALELO 2X2,50MM BRANCO METRO MEGATRON
1 X PINO MACHO 20A 2P+T CINZA TRANSMOBIL
1 X PINO FEMEA 20A BRANCO 2P+T V94 C/PRENSA VOLTIN";R$ 56,36;Cartão de Débito;Não
30/12/2024;"1 X ROLO ESPUMA 05CM 440 ROMA
1 X ANEL VEDACAO COM GUIA VASO BLUKIT ";R$ 16,51;Cartão de Débito;Não
30/12/2024;"1 X TEE ESGOTO 50 PLASTILIT
1 X REJUNTE CARAMELO 1KG  INDEFLEX
1 X LUVA CORRER ESGOTO 50 PLASTILIT";R$ 27,64;Transferencia;Não
30/12/2024;"3 X AREIA MEDIA ENSACADA 20KG 
2 X CIMENTO CPII 5KG ";R$ 42,45;Dinheiro;Sim
30/12/2024;1 X CIMENTO CPII 25KG ;R$ 28,30;Cartão de Crédito;Não
30/12/2024;2 X TOMADA EXTERNA 20A 2P+T RADIAL;R$ 27,04;Cartão de Crédito;Não
30/12/2024;"1 X AREIA MEDIA ENSACADA 20KG 
1 X CIMENTO CPII 5KG 
1 X RAPIDISSIMO 900G VEDACIT ";R$ 43,59;Cartão de Débito;Não
30/12/2024;2 X PREGO DE ACO 17X24 ( 7) UN;R$ 11,90;Cartão de Débito;Não
30/12/2024;1 X ADAPTADOR BOB ESPONJA;R$ 8,60;Cartão de Débito;Não
30/12/2024;1 X AREIA MEDIA ENSACADA 20KG ;R$ 5,49;Dinheiro;Não
30/12/2024;1 X AREIA MEDIA ENSACADA 20KG ;R$ 5,49;Dinheiro;Não
30/12/2024;1 X TINTA LATEX BRANCO FOSCO 3,6L CORALAR;R$ 64,72;Cartão de Crédito;Não
30/12/2024;1 X PILHA AA PANASONIC C/4;R$ 11,26;Cartão de Débito;Não
30/12/2024;6 X SACO ENTULHO UNIDADE;R$ 12,90;Cartão de Débito;Não
30/12/2024;"1 X ENGATE RAPIDO MANGUEIRA PVC 78508 C/STOP TRAMONTINA
1 X ADAPTADOR FEMEA ENGATE RAPIDO 78502 TRAMONTINA";R$ 10,17;Transferencia;Não
30/12/2024;"1 X VEDA ROSCA 18MMX10M FIRLON
3 X ABRACADEIRA U 3/4"" OMEGA 
1 X SIFAO SANFONADO PVC UNIVERSAL 1,5 M
1 X LUVA AZUL 20X1/2 AMANCO
1 X COTOVELO AZUL 25X1/2 PLASTILIT 
1 X NIPEL ROSCAVEL 1/2 PLASTILIT
1 X COTOVELO 25X90 PLASTILIT
1 X COLA PVC 17G TIGRE
1 X SERRA COPO A.CARBONO FERTAK 06P 2902
1 X REJUNTE BRANCO 1KG INDEFLEX
1 X BARRA CANO 25 - 3/4"" PLASTILIT - METRO
6 X BUCHA 06 COM ANEL UNIDADE
8 X PARAFUSO CHATO 4,0X35 UNIDADE";R$ 99,43;Transferencia;Não
30/12/2024;2 X REVESTIMENTO 73004 (BRA) 32X57 1M² (CX COM 2M²);R$ 61,22;Cartão de Débito;Não
30/12/2024;1 X SIFAO SANFONADO PVC UNIVERSAL ASTRA;R$ 11,25;Cartão de Débito;Não
30/12/2024;"1 X EXTENSOR ELASTICO P/ BAGAGEIRO 1,50MTS
1 X EXTENSOR ELASTICO P/ BAGAGEIRO 1,00MTS";R$ 15,36;Cartão de Débito;Não
30/12/2024;1 X SERRA ACO BIMETAL 24 DENTES UN. STARRETT;R$ 0,00;;Não
30/12/2024;1 X CIMENTO BRANCO 1KG INDEFLEX;R$ 7,39;Dinheiro;Não
30/12/2024;1 X TRENA 3M EMBORRACHADA 16MM EDA;R$ 14,18;Cartão de Crédito;Não
30/12/2024;3 X RALO LINEAR 5X100 GRELHA INOX ALUMINIO COM ARO ;R$ 0,00;;Sim
30/12/2024;1 X ESCAPULA C/ BUCHA 8 (3) UN;R$ 5,95;Cartão de Débito;Não
30/12/2024;1 X PUXADOR ALCA GAVETA CR 86127102MM ALIANCA;R$ 20,00;Dinheiro;Não
30/12/2024;1 X MARTELO CARPINTEIRO 25MM POLIDO EDA;R$ 30,52;Cartão de Débito;Não
30/12/2024;1 X ADAPTADOR BOB ESPONJA;R$ 8,60;Cartão de Débito;Não
30/12/2024;"1 X PA QUADRADA C/C TRAMONTINA 7464/949
1 X NIVEL BASE MAGNETICA 14 BRASFORT
20 X AREIA MEDIA ENSACADA 20KG 
4 X CIMENTO CPII 50KG NACIONAL";R$ 390,00;Dinheiro;Não
30/12/2024;1 X GESSO COLA INDEFLEX 1KG;R$ 20,00;Dinheiro;Não
30/12/2024;1 X REJUNTE PRETO GRAFITE 1K QUARTZOLIT;R$ 11,45;Cartão de Crédito;Não
30/12/2024;1 X CANTONEIRA COM 3M BRANCA 3/4 ;R$ 28,76;Cartão de Débito;Não
30/12/2024;1 X VASSOURA FLORADA PLUS CONDOR ;R$ 11,00;Transferencia;Não
30/12/2024;2 X FITA DUPLA FACE 19X2 FIXA PRO ADELBRAS;R$ 58,28;Cartão de Débito;Não
30/12/2024;"3 X PARAF C/ BUCHA 10 C/ANEL (2) UN
2 X SPOT EMBUTIR QUADRADO 08W 6500K BLUMENAU
1 X FITA ISOLANTE 19MMX05M ADELBRAS";R$ 55,91;Cartão de Débito;Não
30/12/2024;"1 X NIVEL MADEIRA 25CM 10"" MAX";R$ 20,90;Cartão de Débito;Não
30/12/2024;"1 X SARRAFO PINUS BRUTO 20CMX3MT
1 X PARAF CHIPBOARD 50X60 (4) UN";R$ 32,27;Cartão de Débito;Não
30/12/2024;1 X PLUG ROSCAVEL 1/2 PLASTILIT;R$ 2,00;Dinheiro;Não
30/12/2024;"4 X SACO ENTULHO UNIDADE
1 X AREIA MEDIA ENSACADA 20KG ";R$ 14,09;Cartão de Débito;Não
30/12/2024;1 X LIXA MASSA 180 NORTON (VERMELHA);R$ 1,57;Cartão de Débito;Não
30/12/2024;1 X CADEADO 30MM GOLD;R$ 26,86;Cartão de Débito;Sim
30/12/2024;2 X COLA PVC 850G AMANCO;R$ 122,85;Transferencia;Não
30/12/2024;"1 X REJUNTE CINZA PLATINA 5K VOTORANTIM
4 X LIXA MASSA 120 TATU";R$ 47,96;Cartão de Débito;Não
30/12/2024;"1 X PINO FEMEA 10A 2P BR/PT TRAMONTINA
1 X PLUG MACHO 2P 10A PRETO/BRANCO TRAMONTINA";R$ 13,53;Dinheiro;Não
30/12/2024;;;;Não
30/12/2024;;R$ 8,58;Transferencia;Não
30/12/2024;"3 X PARAF C/ BUCHA 6 (5) UN PREGOTEK
5 X ABRACADEIRA U 1.1/2"" OMEGA
1 X CANETA MARCACAO PERMAMENTE PRETO PONTA GROSSA";R$ 31,19;Cartão de Crédito;Não
30/12/2024;1 X FORMAO D 5/8 MAX;R$ 27,34;Dinheiro;Não
30/12/2024;"1 X PU40 CINZA 400GR SOUDAL
1 X MASSA PLASTICA CINZA 400GR RETOQUE";R$ 43,83;Dinheiro;Não
30/12/2024;"1 X ROLO TEXTURA EXTRA RUSTICA 110/55 ATLAS
1 X SUPORTE ROLO  23CM COM GAIOLA";R$ 50,00;Dinheiro;Não
30/12/2024;1 X PARAFUSO TELHEIRO 130;R$ 4,26;Cartão de Débito;Não
30/12/2024;"1 X ESPATULA 12CM CABO PLASTICO MAX
3 X LIXA FERRO 60 NORTON
1 X DESEMPENADEIRA ACO DENTADA COMPEL 12X26";R$ 41,61;Cartão de Débito;Não
30/12/2024;"4 X PARAF CHIPBOARD 50X60 (4) UN
1 X SARRAFO PINUS BRUTO 20CMX3MT";R$ 50,12;Cartão de Débito;Não
30/12/2024;"1 X BROCA DE ACO RAPIDO IRWIN 3,5MM
2 X PARAFUSO SEXTAVADO 5/16X4 UN
2 X ARRUELA DE PRESSAO 3/8
2 X PORCA 5/16";R$ 18,73;Transferencia;Não
30/12/2024;1 X TORNEIRA JARDIM 3/4 AMARELA LONGA 1130 EMA METAIS;R$ 37,56;Dinheiro;Não
28/12/2024;1 X EXTENSOR PARA ROLO PINTURA  3MT COMPEL;R$ 50,00;Dinheiro;Não
30/12/2024;"100 X ELETRODO 2,50 UN. - CIFARELLI
10 X DISCO CORTE ACO SPED/INOX 9X7/8X1,6 STARRET 
1 X DISCO DIAMANTADO SEGMENTADO 9"" HAMMER ";R$ 391,17;Condominio;Não
30/12/2024;1 X BOTA BORRACHA 44 PT/AM CANO MEDIO PEGA FORTE;R$ 76,76;Condominio;Não
30/12/2024;"1 X MARTELO CARPINTEIRO 29MM POLIDO EDA
1 X ASSENTO SANITARIO ALMOFADADO BRANCO ATLAS";R$ 111,33;Condominio;Não
30/12/2024;"2 X SABONETEIRA TRILHA ECOLOGICA C/RES 6X1
1 X SUPORTE PARA PAPEL TOALHA 6X1 TRILHA ECOLOGICO 
1 X ASSENTO SANITARIO OVAL BR TALENTO ASTRA";R$ 178,34;Condominio;Não
30/12/2024;"2 X COMPOUND ADESIVO SIKA
1 X BOTINA NOBUCK 44 BIQ.PVC CAFE MARLUVAS ";R$ 365,11;Condominio;Não
30/12/2024;"2 X DOBRADICA CANTO ZINCADO 850X2.1/2"" C/3 PC
1 X FITA DUPLA FACE TRANSPARENTE 12MMX20M 3M ";R$ 103,99;Condominio;Não
30/12/2024;2 X FECHO PARA CADEADO 460X3 TRINCO 3 SILVANA;R$ 19,54;Condominio;Não
28/12/2024;;;;Não
28/12/2024;2 X LIXA FERRO 60 NORTON;R$ 10,82;Dinheiro;Não
28/12/2024;1 X THINNER MULTIUSO 900ML NOVA ;R$ 20,00;Dinheiro;Não
28/12/2024;1 X REJUNTE CINZA ARTICO 1KG QUARTZOLIT;R$ 11,00;Dinheiro;Não
28/12/2024;1 X DUREPOXI 250GR CZ HENKEL;R$ 33,85;Cartão de Crédito;Não
28/12/2024;6 X FUSIVEL VIDRO 20AG 8A;R$ 4,80;Cartão de Crédito;Não
28/12/2024;"1 X FITA DUPLA FACE 19X2 FIXA PRO ADELBRAS
1 X FITA ISOLANTE 19MMX05M ADELBRAS";R$ 32,66;Cartão de Débito;Não
28/12/2024;1 X COLA RAPIDA ULTRA BOND ;R$ 2,73;Dinheiro;Não
28/12/2024;1 X FITA ADESIVA MULTIUSO 45CM VEDATUDO METRO;R$ 20,00;Dinheiro;Não
28/12/2024;1 X JOGO CHAVE ALLEN 10 PC BRASFORT;R$ 23,00;Cartão de Crédito;Não
28/12/2024;2 X ACABAMENTO REGISTRO STYLLO 3/4 C40 UNIFIX;R$ 90,16;Transferencia;Não
28/12/2024;"1 X PARAF C/ BUCHA 6 (5) UN PREGOTEK
3 X PARAF MAD 32X40 (6) UN
1 X BUCHA 05 (15) UN";R$ 29,75;Cartão de Débito;Não
28/12/2024;"1 X VERNIZ TINGIDOR 1/16 IMBUIA EUCATEX
1 X PINCEL 3/4 19MM ROMA";R$ 31,88;Cartão de Débito;Não
28/12/2024;"3 X ABRACADEIRA NYLON BRANCA 4,8MMX500MM (UN)
10 X ABRACADEIRA NYLON PRETA 3,6MMX200MM (UN)
3 X CABO TELEFONE 40X2 PARES METRO MEGATRON";R$ 19,08;Cartão de Débito;Não
28/12/2024;1 X LIXA AGUA 1200 NORTON;R$ 11,71;Cartão de Crédito;Não
28/12/2024;"2 X CHUMBADOR ACO CB 1/4X3 C/PARF. PROL
1 X SERRA ACO BIMETAL 24 DENTES UN. BOSCH";R$ 23,68;Transferencia;Não
28/12/2024;1 X CHUVEIRO DUCHA GORDUCHA CORONA 4T 220V 5700W;R$ 68,33;Cartão de Débito;Não
28/12/2024;"2 X CORTINA BOX ESTAMPADA 1,35X1,78M PLASTLEO
1 X GANCHO ACO INOX ADESIVO WEST 1.0K";R$ 37,57;Cartão de Débito;Não
28/12/2024;1 X REJUNTE BEGE 1KG QUARTZOLIT ;R$ 11,45;Cartão de Débito;Não
28/12/2024;1 X BRACO CHUVEIRO 30CM ALUMINIO ;R$ 11,43;Cartão de Débito;Não
28/12/2024;1 X MASSA CORRIDA ACRILICA 3,6L CORAL;R$ 71,10;Dinheiro;Não
28/12/2024;2 X CIMENTO CINZA 1KG INDEFLEX;R$ 20,00;Dinheiro;Não
28/12/2024;"1 X CHUVEIRO DUCHA GORDUCHA CORONA 4T 220V 5700W
1 X GATILHO DUCHA HIGIENICA PLASTICO CROMADO COM SUPORTE ALPHA";R$ 94,88;Cartão de Débito;Não
28/12/2024;"1 X ARGAMASSA ACII EXTERNA 20KG VOTORANTIM
1 X PU40 CINZA 400GR CIBRAFLEX
1 X LIXA AGUA 180 NORTON";R$ 53,05;Dinheiro;Não
28/12/2024;"1 X VASSOURA FLORADA PLUS ALKLIN
1 X PA LONGA PLASTICA COM CABO";R$ 50,00;Dinheiro;Não
28/12/2024;1 X SILICONE ACETICO BRANCO 50G DRYKO;R$ 20,00;Dinheiro;Não
28/12/2024;1 X EXTENSAO ELETRICA 3,00M 2P+T10A BRANCA TECHNA;R$ 21,33;Cartão de Débito;Não
28/12/2024;;R$ 202,20;Transferencia;Não
28/12/2024;"4 X FUSIVEL VIDRO 20AG 10A
3 X ABRACADEIRA ROSCA SEM FIM 3/8"" 5/16"" 9MM
2 X GRELHA ACO INOX 10CM REDONDA ROTATORIA OVERTIME";R$ 100,00;Dinheiro;Não
28/12/2024;"3 X FIO PARALELO 2X1,50MM BRANCO METRO MEGAMAX
1 X FITA ISOLANTE 18MMX05M IMPERIAL 3M
2 X BOCAL CERAMICO RECEPTACULO LATAO 1450 E-27 CANIELLO
1 X MIGUELAO 18X20 (10) UN
2 X PARAFUSO CHATO 3,5X25 UNIDADE
1 X LAMPADA LED GLOBO 50W E27 6500K BLUMENAU";R$ 76,28;Cartão de Débito;Não
28/12/2024;1 X FITA ADESIVA MULTIUSO 60CM VEDATUDO METRO;R$ 21,00;Transferencia;Não
28/12/2024;1 X CHUVEIRO DUCHA QUATTRO 4 TEMPERATURAS 220V 6800W FAME;R$ 79,28;Cartão de Débito;Não
28/12/2024;"1 X SILICONE ACETICO TRANSPARENTE 50G TEKBOND
1 X TOMADA TELEFONE EXT C/1 ADAP. IMP.CENT. INTERNEED
1 X PLACA CEGA 4X2 RADIAL";R$ 24,85;Cartão de Débito;Não
28/12/2024;"1 X MASSA PLASTICA BRANCA 400GR RETOQUE
1 X APLICADOR REJUNTE E.V.A - SEM MARCA";R$ 30,00;Dinheiro;Não
28/12/2024;"1 X AGUARRAS 900ML - EUCATEX
1 X ARGAMASSA ACI INTERNA 20KG VOTORANTIM
1 X TELA NYLON 1,20M BRANCA METRO
5 X LONA PRETA MEDIA METRO";R$ 82,63;Cartão de Débito;Não
28/12/2024;1 X CONECTOR PORCELANA 10MM TRIPOLAR FERTAK;R$ 6,34;Cartão de Débito;Não
28/12/2024;1 X FRISO PARA PORTA 90CM ALUMINIO ALUREM;R$ 21,45;Dinheiro;Não
28/12/2024;"4 X BUCHA SFOR GESSO FLY 04 
4 X PARAFUSO SEXTAVADO 3/16X50 MADEIRA
1 X SUPORTE TV FIXO UNIVERSAL 10""-85"" PIX";R$ 23,30;Cartão de Débito;Não
28/12/2024;"4 X VEDANTE 3/4 PVC UN.
2 X VEDANTE 3/4 METAL COURO";R$ 4,00;Dinheiro;Não
28/12/2024;"1 X DESEMPENADEIRA PVC CORRUGADA 16X28 PRETA EMAVE
1 X COLHER PEDREIRO 07 BRASFORT";R$ 36,53;Cartão de Débito;Não
28/12/2024;"1 X ROLO LA 23CM CARNEIRO COM CABO COMPEL
1 X PINCEL 2"" 50,8MM TIGRE
1 X BANDEJA PINTURA GRANDE 23CM DRAGON
1 X REJUNTE BRANCO 1KG QUARTZOLIT
1 X REJUNTE CINZA PLATINA 1KG QUARTZOLIT
2 X NIPEL LATAO AMARELO 1/2X1/2 METAIS REIS
1 X TINTA LATEX BRANCO FOSCO 3,6L CORALAR
1 X SERRA ACO BIMETAL 24 DENTES UN. STARRETT";R$ 183,50;Transferencia;Não
28/12/2024;"1 X VEDA ROSCA 18MMX10M FIRLON
4 X PLUG ROSCAVEL 1/2 AMANCO";R$ 11,26;Transferencia;Não
28/12/2024;"1 X ANEL ORING 6.00MM X 2.00MM UNIDADE 
1 X ANEL VEDACAO 7MMX1,5MM";R$ 1,62;Cartão de Débito;Não
28/12/2024;"1 X SIFAO SANFONADO PVC UNIVERSAL PRETO ASTRA
1 X SARRAFO PINUS BRUTO 05CMX3MT
1 X SARRAFO PINUS BRUTO 10CMX3MT";R$ 33,29;Cartão de Crédito;Não
28/12/2024;"2 X COAXIAL 10 (06) UN
1 X SOQUETE COM RABICHO BRANCO FOXLUX
1 X TINTA SPRAY (BRANCO FOSCO) TEKBOND";R$ 46,83;Cartão de Crédito;Não
28/12/2024;"1 X ESTILETE 18MM EMBORRACHADO FERTAK
1 X PU40 BRANCO 400G SOUDAL 
1 X FITA CREPE 48MMX50M 3M
1 X FITA ADESIVA MULTIUSO 15CM VEDATUDO ROLO
2 X TIJOLO COMUM (PACOTE COM 10) ";R$ 116,01;Cartão de Débito;Não
28/12/2024;"1 X REJUNTE CINZA PLATINA 1K INDEFLEX
1 X VEDANTE 1/2 PVC";R$ 100,00;Dinheiro;Não
27/12/2024;;R$ 119,23;Transferencia;Não
27/12/2024;1 X ARAME GALVANIZADO N.16 1,65MM ROLO COM 5M;R$ 13,85;Dinheiro;Não
27/12/2024;;R$ 140,25;Funcionario;Não
27/12/2024;;R$ 23,24;Funcionario;Não
27/12/2024;2 X PORCA BORBOLETA 5/16;R$ 2,82;Transferencia;Não
28/12/2024;"60 X BARRA CANO 40 - 1.1/4"" AMANCO - METRO
40 X TEE 40 AMANCO
20 X COTOVELO 40X90° AMANCO";R$ 0,00;;Sim
27/12/2024;;R$ 579,24;Cartão de Crédito;Não
27/12/2024;"1 X CIMENTO CPII 25KG 
1 X AREIA MEDIA ENSACADA 20KG ";R$ 100,00;Dinheiro;Não
27/12/2024;;R$ 64,00;Funcionario;Não
27/12/2024;1 X LIMPA PEDRA SOL. LIMPEZA LIMPINHO 1 LITRO;R$ 13,98;Dinheiro;Não
27/12/2024;"8 X ABRACADEIRA NYLON BRANCA 4,8MMX300MM UNIDADE FERTAK
1 X ESCOVA SANITARIA C/ SUPORTE BRUBALAR (Sales)";R$ 16,20;Cartão de Débito;Não
27/12/2024;"1 X VARAO CORTINA 1,50M IMBUIA FINO STD
1 X BROCA WIDEA 6MMX100MM";R$ 50,00;Dinheiro;Não
27/12/2024;"1 X NIPEL LATAO AMARELO 1/2X1/2 METAIS REIS
1 X SABONETEIRA COM VENTOSA BRANCA MAXXIMO";R$ 23,19;Cartão de Débito;Não
27/12/2024;1 X PREGO C/C 15X15 (25) UN;R$ 5,65;Dinheiro;Não
27/12/2024;1 X SUPORTE TV FIXO FIXO 10/90 BRASFORMA;R$ 16,47;Cartão de Débito;Não
27/12/2024;"1 X ADAPTADOR FEMEA ENGATE RAPIDO 78502 TRAMONTINA
1 X ADAPTADOR BOB ESPONJA";R$ 14,49;Transferencia;Não
27/12/2024;;R$ 70,92;Funcionario;Não
27/12/2024;"1 X VEDANTE 1/2 PVC
1 X VEDANTE 3/4 PVC UN.";R$ 1,00;Dinheiro;Não
27/12/2024;;R$ 41,35;Funcionario;Não
27/12/2024;"20 X AREIA MEDIA ENSACADA 20KG 
2 X CIMENTO CPII 50KG NACIONAL
2 X MATA BARATA GEL 10G BISNAGA KROMAX ";R$ 212,70;Cartão de Débito;Não
27/12/2024;1 X ENGATE FLEXIVEL 40CM CROMADO ALPHA;R$ 24,00;Cartão de Crédito;Não
27/12/2024;1 X CHAVE INGLESA 06 BRASFORT;R$ 46,72;Cartão de Crédito;Não
27/12/2024;1 X FITA SILVER TAPE PRETA 48MMX5M TEKBOND;R$ 14,14;Cartão de Débito;Não
27/12/2024;;R$ 42,70;Funcionario;Não
27/12/2024;1 X GESSO LENTO 5KG INDEFLEX;R$ 14,30;Cartão de Crédito;Não
27/12/2024;"1 X CADEADO 25MM STAM
1 X SUPER BONDER 3G";R$ 36,51;Cartão de Crédito;Não
27/12/2024;"3 X ARGAMASSA ACIII CINZA PORTOKOL 20KG SIKA
3 X SACO ENTULHO UNIDADE";R$ 119,79;Cartão de Crédito;Não
27/12/2024;"1 X CAIXA SIFONADA 15X15X50 REDONDA BRANCA PLASTILIT
1 X LUVA CORRER ESGOTO 100 PLASTILIT
2 X COTOVELO ESGOTO 100X90º PLASTILIT
1 X LUVA REDUCAO ESGOTO 50X40 PLASTILIT
1 X CIMENTO CPII 5KG ";R$ 116,34;Cartão de Débito;Não
27/12/2024;"2 X TAPA FURO DE CANO D'ÁGUA
1 X COLA PVC 17G TIGRE
1 X VEDA ROSCA 18MMX10M FIRLON";R$ 59,89;Cartão de Débito;Não
27/12/2024;;R$ 70,36;Funcionario;Não
